id,tema,escopo,pergunta,indicador,ano,universo,folga_10_11,top10
c0001,paises,África,Quais os países que mais exportam na África?,NE.EXP.GNFS.CD,2024,48,0.105,"1. África do Sul (US$ 127,5 bi) | 2. Marrocos (US$ 67,5 bi) | 3. Egito (US$ 63,7 bi) | 4. Argélia (US$ 53,5 bi) | 5. Líbia (US$ 34,8 bi) | 6. República Democrática do Congo (US$ 34,6 bi) | 7. Angola (US$ 31,8 bi) | 8. Gana (US$ 29,2 bi) | 9. Tunísia (US$ 25,7 bi) | 10. Costa do Marfim (US$ 22,7 bi)"
c0002,paises,Ásia,Quais os países que mais exportam na Ásia?,NE.EXP.GNFS.CD,2024,38,0.4887,"1. China (US$ 3,83 tri) | 2. Singapura (US$ 1,00 tri) | 3. Japão (US$ 921,0 bi) | 4. Coreia do Sul (US$ 831,9 bi) | 5. Índia (US$ 829,8 bi) | 6. Vietnã (US$ 429,5 bi) | 7. Tailândia (US$ 368,8 bi) | 8. Arábia Saudita (US$ 368,6 bi) | 9. Indonésia (US$ 311,5 bi) | 10. Malásia (US$ 301,2 bi)"
c0003,paises,Américas,Quais os países que mais exportam nas Américas?,NE.EXP.GNFS.CD,2024,23,0.0387,"1. Estados Unidos (US$ 3,22 tri) | 2. Canadá (US$ 737,1 bi) | 3. México (US$ 682,5 bi) | 4. Brasil (US$ 392,1 bi) | 5. Chile (US$ 111,1 bi) | 6. Argentina (US$ 97,3 bi) | 7. Peru (US$ 84,3 bi) | 8. Colômbia (US$ 67,6 bi) | 9. Panamá (US$ 38,4 bi) | 10. Equador (US$ 37,8 bi)"
c0004,paises,União Europeia,Quais os países que mais exportam na União Europeia?,NE.EXP.GNFS.CD,2024,27,0.0121,"1. Alemanha (US$ 1,94 tri) | 2. França (US$ 1,07 tri) | 3. Países Baixos (US$ 1,00 tri) | 4. Irlanda (US$ 877,1 bi) | 5. Itália (US$ 770,7 bi) | 6. Espanha (US$ 639,5 bi) | 7. Bélgica (US$ 532,2 bi) | 8. Polônia (US$ 478,9 bi) | 9. Suécia (US$ 329,6 bi) | 10. Dinamarca (US$ 301,4 bi)"
c0005,paises,mundo,Quais os países que mais importam?,NE.IMP.GNFS.CD,2024,163,0.0189,"1. Estados Unidos (US$ 4,11 tri) | 2. China (US$ 3,28 tri) | 3. Alemanha (US$ 1,76 tri) | 4. Reino Unido (US$ 1,17 tri) | 5. França (US$ 1,08 tri) | 6. Japão (US$ 958,4 bi) | 7. Índia (US$ 897,1 bi) | 8. Países Baixos (US$ 867,5 bi) | 9. Singapura (US$ 794,3 bi) | 10. Coreia do Sul (US$ 755,5 bi)"
c0006,paises,Europa,Quais os países que mais importam na Europa?,NE.IMP.GNFS.CD,2024,42,0.1316,"1. Alemanha (US$ 1,76 tri) | 2. Reino Unido (US$ 1,17 tri) | 3. França (US$ 1,08 tri) | 4. Países Baixos (US$ 867,5 bi) | 5. Itália (US$ 721,2 bi) | 6. Irlanda (US$ 622,5 bi) | 7. Suíça (US$ 573,7 bi) | 8. Espanha (US$ 567,6 bi) | 9. Bélgica (US$ 534,8 bi) | 10. Polônia (US$ 442,2 bi)"
c0007,paises,mundo,Quais os países com o maior PIB?,NY.GDP.MKTP.CD,2025,182,0.0172,"1. Estados Unidos (US$ 30,77 tri) | 2. China (US$ 19,50 tri) | 3. Alemanha (US$ 5,05 tri) | 4. Japão (US$ 4,44 tri) | 5. Reino Unido (US$ 4,00 tri) | 6. Índia (US$ 3,96 tri) | 7. França (US$ 3,37 tri) | 8. Rússia (US$ 2,56 tri) | 9. Itália (US$ 2,55 tri) | 10. Canadá (US$ 2,32 tri)"
c0008,paises,África,Quais os países com o maior PIB na África?,NY.GDP.MKTP.CD,2025,52,0.0876,"1. África do Sul (US$ 427,2 bi) | 2. Egito (US$ 365,3 bi) | 3. Nigéria (US$ 290,8 bi) | 4. Argélia (US$ 287,0 bi) | 5. Marrocos (US$ 182,4 bi) | 6. Quênia (US$ 135,9 bi) | 7. Etiópia (US$ 126,4 bi) | 8. Angola (US$ 122,2 bi) | 9. Gana (US$ 114,2 bi) | 10. Costa do Marfim (US$ 99,8 bi)"
c0009,paises,Europa,Quais os países com o maior PIB por habitante na Europa?,NY.GDP.PCAP.CD,2025,38,0.0252,1. Irlanda (US$ 131.592) | 2. Suíça (US$ 114.769) | 3. Noruega (US$ 94.594) | 4. Dinamarca (US$ 76.970) | 5. Países Baixos (US$ 73.684) | 6. Suécia (US$ 63.133) | 7. Áustria (US$ 62.930) | 8. Bélgica (US$ 60.750) | 9. Alemanha (US$ 60.496) | 10. Reino Unido (US$ 57.602)
c0010,paises,África,Quais os países com o maior PIB por habitante na África?,NY.GDP.PCAP.CD,2025,48,0.1178,1. Maurício (US$ 12.991) | 2. Gabão (US$ 8.263) | 3. Botsuana (US$ 7.778) | 4. Guiné Equatorial (US$ 6.615) | 5. África do Sul (US$ 6.598) | 6. Líbia (US$ 6.449) | 7. Argélia (US$ 6.051) | 8. Namíbia (US$ 4.876) | 9. Marrocos (US$ 4.672) | 10. Tunísia (US$ 4.657)
c0011,paises,Ásia,Quais os países com o maior PIB por habitante na Ásia?,NY.GDP.PCAP.CD,2025,37,0.0565,1. Singapura (US$ 98.814) | 2. Catar (US$ 72.525) | 3. Israel (US$ 60.337) | 4. Coreia do Sul (US$ 36.227) | 5. Japão (US$ 35.951) | 6. Arábia Saudita (US$ 34.537) | 7. Kuwait (US$ 32.312) | 8. Bahrein (US$ 30.597) | 9. Omã (US$ 19.947) | 10. Cazaquistão (US$ 14.692)
c0012,paises,Américas,Quais os países com o maior PIB por habitante nas Américas?,NY.GDP.PCAP.CD,2025,23,0.0313,1. Estados Unidos (US$ 90.027) | 2. Canadá (US$ 55.698) | 3. Uruguai (US$ 25.216) | 4. Costa Rica (US$ 19.970) | 5. Panamá (US$ 19.790) | 6. Trindade e Tobago (US$ 18.967) | 7. Chile (US$ 17.995) | 8. Argentina (US$ 14.898) | 9. México (US$ 13.889) | 10. República Dominicana (US$ 11.059)
c0013,paises,mundo,Quais os países mais ricos por habitante (ajustado por poder de compra)?,NY.GDP.PCAP.PP.CD,2025,148,0.0097,1. Singapura (US$ 163.354) | 2. Irlanda (US$ 155.089) | 3. Catar (US$ 128.883) | 4. Noruega (US$ 104.044) | 5. Suíça (US$ 102.513) | 6. Estados Unidos (US$ 90.027) | 7. Países Baixos (US$ 87.320) | 8. Dinamarca (US$ 83.218) | 9. Áustria (US$ 76.778) | 10. Alemanha (US$ 75.407)
c0014,paises,União Europeia,Quais os países mais ricos por habitante (ajustado por poder de compra) na União Europeia?,NY.GDP.PCAP.PP.CD,2025,25,0.0183,1. Irlanda (US$ 155.089) | 2. Países Baixos (US$ 87.320) | 3. Dinamarca (US$ 83.218) | 4. Áustria (US$ 76.778) | 5. Alemanha (US$ 75.407) | 6. Bélgica (US$ 74.676) | 7. Suécia (US$ 72.529) | 8. Finlândia (US$ 65.884) | 9. Chipre (US$ 64.575) | 10. França (US$ 63.975)
c0015,paises,mundo,Quais as economias que mais cresceram no ano?,NY.GDP.MKTP.KD.ZG,2025,149,0.0173,"1. Líbia (13,4%) | 2. Irlanda (12,3%) | 3. Quirguistão (11,1%) | 4. Etiópia (9,8%) | 5. Ruanda (9,4%) | 6. Tajiquistão (8,4%) | 7. Zimbábue (8,1%) | 8. Benin (8,1%) | 9. Vietnã (8,0%) | 10. Uzbequistão (7,7%)"
c0016,paises,mundo,Quais as economias que mais encolheram no ano?,NY.GDP.MKTP.KD.ZG,2025,149,0.5293,"1. Guiné Equatorial (-5,8%) | 2. Irã (-2,8%) | 3. Haiti (-2,7%) | 4. Iraque (-2,2%) | 5. Mianmar (-2,0%) | 6. Bolívia (-1,6%) | 7. Trindade e Tobago (-0,8%) | 8. Botsuana (-0,7%) | 9. Moçambique (-0,5%) | 10. Jamaica (0,1%)"
c0017,paises,mundo,Quais os países com a maior inflação?,FP.CPI.TOTL.ZG,2025,136,0.0092,"1. Irã (42,2%) | 2. Turquia (34,9%) | 3. Burundi (34,1%) | 4. Haiti (28,6%) | 5. Malawi (28,4%) | 6. Nigéria (23,0%) | 7. Angola (20,2%) | 8. Bolívia (19,5%) | 9. Líbano (14,6%) | 10. Gana (14,2%)"
c0018,paises,mundo,Quais os países com as maiores reservas internacionais?,FI.RES.TOTL.CD,2024,161,0.1275,"1. China (US$ 3,46 tri) | 2. Japão (US$ 1,23 tri) | 3. Estados Unidos (US$ 910,0 bi) | 4. Suíça (US$ 909,4 bi) | 5. Índia (US$ 643,0 bi) | 6. Rússia (US$ 608,4 bi) | 7. Arábia Saudita (US$ 463,9 bi) | 8. Coreia do Sul (US$ 418,2 bi) | 9. Singapura (US$ 383,9 bi) | 10. Alemanha (US$ 377,9 bi)"
c0019,paises,Europa,Quais os países com as maiores reservas internacionais na Europa?,FI.RES.TOTL.CD,2024,43,0.0058,"1. Suíça (US$ 909,4 bi) | 2. Rússia (US$ 608,4 bi) | 3. Alemanha (US$ 377,9 bi) | 4. Itália (US$ 290,5 bi) | 5. França (US$ 282,9 bi) | 6. Polônia (US$ 223,1 bi) | 7. Reino Unido (US$ 174,6 bi) | 8. Turquia (US$ 155,5 bi) | 9. Tchéquia (US$ 146,3 bi) | 10. Dinamarca (US$ 108,4 bi)"
c0020,paises,África,Quais os países com as maiores reservas internacionais na África?,FI.RES.TOTL.CD,2024,38,0.405,"1. Líbia (US$ 92,9 bi) | 2. Argélia (US$ 83,0 bi) | 3. África do Sul (US$ 65,4 bi) | 4. Egito (US$ 44,9 bi) | 5. Nigéria (US$ 40,4 bi) | 6. Marrocos (US$ 37,1 bi) | 7. Angola (US$ 14,2 bi) | 8. Quênia (US$ 10,1 bi) | 9. Tunísia (US$ 9,3 bi) | 10. Maurício (US$ 8,5 bi)"
c0021,paises,Europa,Quais os países que mais recebem investimento estrangeiro direto na Europa?,BX.KLT.DINV.CD.WD,2024,43,0.0104,"1. Luxemburgo (US$ 106,0 bi) | 2. Alemanha (US$ 62,6 bi) | 3. França (US$ 52,1 bi) | 4. Espanha (US$ 42,8 bi) | 5. Malta (US$ 42,6 bi) | 6. Suécia (US$ 30,7 bi) | 7. Itália (US$ 28,5 bi) | 8. Polônia (US$ 20,6 bi) | 9. Dinamarca (US$ 18,2 bi) | 10. Áustria (US$ 13,7 bi)"
c0022,paises,África,Quais os países que mais recebem investimento estrangeiro direto na África?,BX.KLT.DINV.CD.WD,2024,52,0.0875,"1. Egito (US$ 46,6 bi) | 2. Etiópia (US$ 4,0 bi) | 3. Moçambique (US$ 3,5 bi) | 4. Uganda (US$ 3,3 bi) | 5. Costa do Marfim (US$ 3,1 bi) | 6. República Democrática do Congo (US$ 2,9 bi) | 7. Zâmbia (US$ 2,4 bi) | 8. África do Sul (US$ 2,3 bi) | 9. Senegal (US$ 2,0 bi) | 10. Namíbia (US$ 1,9 bi)"
c0023,paises,União Europeia,Quais os países que mais recebem investimento estrangeiro direto na União Europeia?,BX.KLT.DINV.CD.WD,2024,27,0.0104,"1. Luxemburgo (US$ 106,0 bi) | 2. Alemanha (US$ 62,6 bi) | 3. França (US$ 52,1 bi) | 4. Espanha (US$ 42,8 bi) | 5. Malta (US$ 42,6 bi) | 6. Suécia (US$ 30,7 bi) | 7. Itália (US$ 28,5 bi) | 8. Polônia (US$ 20,6 bi) | 9. Dinamarca (US$ 18,2 bi) | 10. Áustria (US$ 13,7 bi)"
c0024,paises,mundo,Quais os países que mais recebem dinheiro enviado por emigrantes?,BX.TRF.PWKR.CD.DT,2024,157,0.0218,"1. Índia (US$ 137,7 bi) | 2. México (US$ 67,6 bi) | 3. Filipinas (US$ 40,3 bi) | 4. França (US$ 38,8 bi) | 5. Paquistão (US$ 34,9 bi) | 6. Egito (US$ 29,6 bi) | 7. Bangladesh (US$ 27,5 bi) | 8. China (US$ 25,0 bi) | 9. Alemanha (US$ 22,2 bi) | 10. Nigéria (US$ 22,1 bi)"
c0025,paises,Europa,Quais os países que mais recebem dinheiro enviado por emigrantes na Europa?,BX.TRF.PWKR.CD.DT,2024,43,0.0361,"1. França (US$ 38,8 bi) | 2. Alemanha (US$ 22,2 bi) | 3. Bélgica (US$ 15,5 bi) | 4. Itália (US$ 12,1 bi) | 5. Ucrânia (US$ 12,0 bi) | 6. Romênia (US$ 9,5 bi) | 7. Polônia (US$ 8,7 bi) | 8. Croácia (US$ 6,7 bi) | 9. Espanha (US$ 6,3 bi) | 10. Sérvia (US$ 5,8 bi)"
c0026,paises,África,Quais os países que mais recebem dinheiro enviado por emigrantes na África?,BX.TRF.PWKR.CD.DT,2024,40,0.0156,"1. Egito (US$ 29,6 bi) | 2. Nigéria (US$ 22,1 bi) | 3. Marrocos (US$ 12,5 bi) | 4. Etiópia (US$ 7,1 bi) | 5. Quênia (US$ 5,0 bi) | 6. Zimbábue (US$ 3,5 bi) | 7. Tunísia (US$ 3,3 bi) | 8. Gana (US$ 3,0 bi) | 9. República Democrática do Congo (US$ 2,0 bi) | 10. Argélia (US$ 1,8 bi)"
c0027,paises,Ásia,Quais os países que mais recebem dinheiro enviado por emigrantes na Ásia?,BX.TRF.PWKR.CD.DT,2024,34,0.0661,"1. Índia (US$ 137,7 bi) | 2. Filipinas (US$ 40,3 bi) | 3. Paquistão (US$ 34,9 bi) | 4. Bangladesh (US$ 27,5 bi) | 5. China (US$ 25,0 bi) | 6. Uzbequistão (US$ 16,6 bi) | 7. Indonésia (US$ 16,0 bi) | 8. Nepal (US$ 11,3 bi) | 9. Tailândia (US$ 9,5 bi) | 10. Coreia do Sul (US$ 7,3 bi)"
